LocationId,LocationZip,LocationState,LocationCity,CountryId
1,4700,Queensland,Rockhampton,1
2,3198,Victoria,Seaford,1
3,7001,Tasmania,Hobart,1
4,2113,New_South_Wales,North_Ryde,1
5,2500,New_South_Wales,Wollongong,1
6,4169,Queensland,East_Brisbane,1
7,2036,New_South_Wales,Matraville,1
8,3280,Victoria,Warrnambool,1
9,3550,Victoria,Bendigo,1
10,4655,Queensland,Hervey_Bay,1
11,4169,Queensland,East_Brisbane,1
12,4169,Queensland,East_Brisbane,1
13,3429,Victoria,Sunbury,1
14,3550,Victoria,Bendigo,1
15,4171,Queensland,Hawthorne,1
16,2580,New_South_Wales,Goulburn,1
17,3280,Victoria,Warrnambool,1
18,2065,New_South_Wales,St._Leonards,1
19,3550,Victoria,Bendigo,1
20,6105,South_Australia,Cloverdale,1
21,2036,New_South_Wales,Matraville,1
22,3000,Victoria,Melbourne,1
23,2061,New_South_Wales,Milsons_Point,1
24,2055,New_South_Wales,North_Sydney,1
25,3977,Victoria,Cranbourne,1
26,2060,New_South_Wales,Lavender_Bay,1
27,2500,New_South_Wales,Wollongong,1
28,4655,Queensland,Hervey_Bay,1
29,2036,New_South_Wales,Matraville,1
30,2060,New_South_Wales,Lavender_Bay,1
31,3220,Victoria,Geelong,1
32,3429,Victoria,Sunbury,1
33,7001,Tasmania,Hobart,1
34,4551,Queensland,Caloundra,1
35,2036,New_South_Wales,Matraville,1
36,3220,Victoria,Geelong,1
37,4169,Queensland,East_Brisbane,1
38,2300,New_South_Wales,Newcastle,1
39,1597,New_South_Wales,Lane_Cove,1
40,5023,South_Australia,Findon,1
41,4810,Queensland,Townsville,1
42,3280,Victoria,Warrnambool,1
43,4217,Queensland,Gold_Coast,1
44,3280,Victoria,Warrnambool,1
45,4217,Queensland,Gold_Coast,1
46,3429,Victoria,Sunbury,1
47,4171,Queensland,Hawthorne,1
48,2065,New_South_Wales,St._Leonards,1
49,2777,New_South_Wales,Springwood,1
50,6105,South_Australia,Cloverdale,1
51,3550,Victoria,Bendigo,1
52,2500,New_South_Wales,Wollongong,1
53,3337,Victoria,Melton,1
54,3220,Victoria,Geelong,1
55,6006,South_Australia,Perth,1
56,4169,Queensland,East_Brisbane,1
57,2500,New_South_Wales,Wollongong,1
58,3977,Victoria,Cranbourne,1
59,2444,New_South_Wales,Port_Macquarie,1
60,2055,New_South_Wales,North_Sydney,1
61,3280,Victoria,Warrnambool,1
62,2138,New_South_Wales,Rhodes,1
63,2444,New_South_Wales,Port_Macquarie,1
64,6105,South_Australia,Cloverdale,1
65,3977,Victoria,Cranbourne,1
66,1002,New_South_Wales,Sydney,1
67,2010,New_South_Wales,Darlinghurst,1
68,4217,Queensland,Gold_Coast,1
69,2036,New_South_Wales,Matraville,1
70,3280,Victoria,Warrnambool,1
71,2065,New_South_Wales,St._Leonards,1
72,2444,New_South_Wales,Port_Macquarie,1
73,3205,Victoria,South_Melbourne,1
74,2010,New_South_Wales,Darlinghurst,1
75,3220,Victoria,Geelong,1
76,4655,Queensland,Hervey_Bay,1
77,6006,South_Australia,Perth,1
78,2138,New_South_Wales,Rhodes,1
79,2065,New_South_Wales,St._Leonards,1
80,1002,New_South_Wales,Sydney,1
81,2036,New_South_Wales,Matraville,1
82,2060,New_South_Wales,Lavender_Bay,1
83,2444,New_South_Wales,Port_Macquarie,1
84,1002,New_South_Wales,Sydney,1
85,2300,New_South_Wales,Newcastle,1
86,2055,New_South_Wales,North_Sydney,1
87,3429,Victoria,Sunbury,1
88,3280,Victoria,Warrnambool,1
89,3198,Victoria,Seaford,1
90,2113,New_South_Wales,North_Ryde,1
91,6006,South_Australia,Perth,1
92,6105,South_Australia,Cloverdale,1
93,2036,New_South_Wales,Matraville,1
94,3280,Victoria,Warrnambool,1
95,4169,Queensland,East_Brisbane,1
96,4655,Queensland,Hervey_Bay,1
97,3429,Victoria,Sunbury,1
98,1002,New_South_Wales,Sydney,1
99,2060,New_South_Wales,Lavender_Bay,1
100,4551,Queensland,Caloundra,1
101,2450,New_South_Wales,Coffs_Harbour,1
102,2036,New_South_Wales,Malabar,1
103,4700,Queensland,Rockhampton,1
104,2300,New_South_Wales,Newcastle,1
105,3977,Victoria,Cranbourne,1
106,3000,Victoria,Melbourne,1
107,3220,Victoria,Geelong,1
108,5023,South_Australia,Findon,1
109,3198,Victoria,Seaford,1
110,2055,New_South_Wales,North_Sydney,1
111,4700,Queensland,Rockhampton,1
112,5023,South_Australia,Findon,1
113,3205,Victoria,South_Melbourne,1
114,4700,Queensland,Rockhampton,1
115,4000,Queensland,Brisbane,1
116,7001,Tasmania,Hobart,1
117,3550,Victoria,Bendigo,1
118,2264,New_South_Wales,Silverwater,1
119,1597,New_South_Wales,Lane_Cove,1
120,4655,Queensland,Hervey_Bay,1
121,3000,Victoria,Melbourne,1
122,3198,Victoria,Seaford,1
123,6105,South_Australia,Cloverdale,1
124,2300,New_South_Wales,Newcastle,1
125,4551,Queensland,Caloundra,1
126,7001,Tasmania,Hobart,1
127,3000,Victoria,Melbourne,1
128,3337,Victoria,Melton,1
129,2065,New_South_Wales,St._Leonards,1
130,2500,New_South_Wales,Wollongong,1
131,2777,New_South_Wales,Springwood,1
132,2444,New_South_Wales,Port_Macquarie,1
133,3977,Victoria,Cranbourne,1
134,2060,New_South_Wales,Lavender_Bay,1
135,2036,New_South_Wales,Matraville,1
136,6105,South_Australia,Cloverdale,1
137,3205,Victoria,South_Melbourne,1
138,4217,Queensland,Gold_Coast,1
139,2060,New_South_Wales,Lavender_Bay,1
140,2065,New_South_Wales,St._Leonards,1
141,4171,Queensland,Hawthorne,1
142,2450,New_South_Wales,Coffs_Harbour,1
143,2300,New_South_Wales,Newcastle,1
144,3337,Victoria,Melton,1
145,2580,New_South_Wales,Goulburn,1
146,2450,New_South_Wales,Coffs_Harbour,1
147,2036,New_South_Wales,Malabar,1
148,4655,Queensland,Hervey_Bay,1
149,2065,New_South_Wales,St._Leonards,1
150,3977,Victoria,Cranbourne,1
151,2010,New_South_Wales,Darlinghurst,1
152,6105,South_Australia,Cloverdale,1
153,5023,South_Australia,Findon,1
154,7001,Tasmania,Hobart,1
155,2500,New_South_Wales,Wollongong,1
156,2777,New_South_Wales,Springwood,1
157,2300,New_South_Wales,Newcastle,1
158,2113,New_South_Wales,North_Ryde,1
159,3205,Victoria,South_Melbourne,1
160,4171,Queensland,Hawthorne,1
161,6006,South_Australia,Perth,1
162,2138,New_South_Wales,Rhodes,1
163,1002,New_South_Wales,Sydney,1
164,4655,Queensland,Hervey_Bay,1
165,4217,Queensland,Gold_Coast,1
166,2777,New_South_Wales,Springwood,1
167,3205,Victoria,South_Melbourne,1
168,4000,Queensland,Brisbane,1
169,3337,Victoria,Melton,1
170,2300,New_South_Wales,Newcastle,1
171,2010,New_South_Wales,Darlinghurst,1
172,2036,New_South_Wales,Malabar,1
173,4551,Queensland,Caloundra,1
174,3220,Victoria,Geelong,1
175,7001,Tasmania,Hobart,1
176,4000,Queensland,Brisbane,1
177,2500,New_South_Wales,Wollongong,1
178,3205,Victoria,South_Melbourne,1
179,4700,Queensland,Rockhampton,1
180,2580,New_South_Wales,Goulburn,1
181,3220,Victoria,Geelong,1
182,4810,Queensland,Townsville,1
183,3198,Victoria,Seaford,1
184,2444,New_South_Wales,Port_Macquarie,1
185,2444,New_South_Wales,Port_Macquarie,1
186,3280,Victoria,Warrnambool,1
187,2010,New_South_Wales,Darlinghurst,1
188,2450,New_South_Wales,Coffs_Harbour,1
189,4700,Queensland,Rockhampton,1
190,4000,Queensland,Brisbane,1
191,3977,Victoria,Cranbourne,1
192,2065,New_South_Wales,St._Leonards,1
193,2055,New_South_Wales,North_Sydney,1
194,2300,New_South_Wales,Newcastle,1
195,3280,Victoria,Warrnambool,1
196,2264,New_South_Wales,Silverwater,1
197,1002,New_South_Wales,Sydney,1
198,2138,New_South_Wales,Rhodes,1
199,2065,New_South_Wales,St._Leonards,1
200,3000,Victoria,Melbourne,1
201,3220,Victoria,Geelong,1
202,2450,New_South_Wales,Coffs_Harbour,1
203,4169,Queensland,East_Brisbane,1
204,2036,New_South_Wales,Matraville,1
205,3550,Victoria,Bendigo,1
206,4655,Queensland,Hervey_Bay,1
207,2061,New_South_Wales,Milsons_Point,1
208,6006,South_Australia,Perth,1
