SalesAmount,TotalProductCost,ProductStandardCost,UnitPriceDiscountPct,ExtendedAmount,UnitPrice,OrderQuantity,SalesTerritoryId,OrderDate,ProductId,SalesOrderLineId,Channel,SalesOrder,CustomerId,ResellerId
2024.99,1898.09,1898.09,0,2024.99,2024.99,1,5,20170702,349,43659001,,,-1,676
6074.98,5694.28,1898.09,0,6074.98,2024.99,3,5,20170702,350,43659002,,,-1,676
2024.99,1898.09,1898.09,0,2024.99,2024.99,1,5,20170702,351,43659003,,,-1,676
2039.99,1912.15,1912.15,0,2039.99,2039.99,1,5,20170702,344,43659004,,,-1,676
2039.99,1912.15,1912.15,0,2039.99,2039.99,1,5,20170702,345,43659005,,,-1,676
4079.99,3824.31,1912.15,0,4079.99,2039.99,2,5,20170702,346,43659006,,,-1,676
2039.99,1912.15,1912.15,0,2039.99,2039.99,1,5,20170702,347,43659007,,,-1,676
86.52,95.17,31.72,0,86.52,28.84,3,5,20170702,229,43659008,,,-1,676
28.84,31.72,31.72,0,28.84,28.84,1,5,20170702,235,43659009,,,-1,676
34.2,20.38,3.4,0,34.2,5.7,6,5,20170702,218,43659010,,,-1,676
10.37,11.41,5.71,0,10.37,5.19,2,5,20170702,223,43659011,,,-1,676
80.75,48.11,12.03,0,80.75,20.19,4,5,20170702,220,43659012,,,-1,676
419.46,413.15,413.15,0,419.46,419.46,1,5,20170705,326,43660001,,,-1,117
874.79,884.71,884.71,0,874.79,874.79,1,5,20170705,319,43660002,,,-1,117
809.76,699.09,699.09,0,809.76,809.76,1,6,20170705,300,43661001,,,-1,442
714.7,617.03,617.03,0,714.7,714.7,1,6,20170705,296,43661002,,,-1,442
1429.41,1234.06,617.03,0,1429.41,714.7,2,6,20170705,304,43661003,,,-1,442
20.75,22.82,5.71,0,20.75,5.19,4,6,20170705,223,43661004,,,-1,442
115.36,126.9,31.72,0,115.36,28.84,4,6,20170705,232,43661005,,,-1,442
1445.19,1247.68,623.84,0,1445.19,722.59,2,6,20170705,293,43661006,,,-1,442
